Node_Type,Count
description <value>,13
set size to <node_value> %,5
go to <node_value> layer,6
go to x <node_value> y <node_value>,6
<node_value> = <value> operator,3
delete this clone,11
for each <node_value> in <node_value>,7
switch costume to <node_value>,85
join <node_value> <node_value>,17
change y by <value>,37
item <node_value>  of <node_list>,16
<node_variable> * <value>,36
go to x: <value> y:<value>,2
set size to <value> %,5
define <node_values>,27
set <node_variables> to <value>,4
if <condition> then,8
length of <node_list>,3
length of <node_value>,7
item <node_variable> of <node_list>,29
