Node_Type,Count
description <value>,13
set size to <node_value> %,7
go to <node_value> layer,19
go to x:  <node_value> y:  <node_value>,4
<node_value> = <value>,44
delete this clone,11
for each <node_value> in <node_value>,7
switch costume to <node_value>,173
join <node_value> <node_value>,25
change y by <value>,53
item <node_value>  of <node_list>,16
<node_variable> * <value>,37
go to x: <value> y:<value>,2
set size to <value> %,26
define <node_values>,27
set <node_variables> to <value>,4
go to x:  <node_value> y: <node_value>,4
if <condition> then,8
length of <node_list>,3
length of <node_value>,8
