Node_Type,Count
pen extension api <stamp>,13
when i receive <node_changes>,2
pen extension api call,7
forever block,54
<node_value> or <node_value>,17
pick random <value> to <value>,12
broadcast <node_valaue>,2
when i receive <node_change>,2
next costume,63
<node_value> = <node_variable>,14
join <node_variable><value>,2
join <node_variable> <value>,4
<node_variable> = <node_value>,3
if <node_variable> = <value>,4
ask <value> and wait,17
pen extension api <eraseall>,2
not <node_variable>,2
broadcast <node_values>,5
join <value> <node_value>,12
replace item <node_variable> of <node_list> with <node_value>,4
