Node_Type,Count
change <node_variable> by <value>,37
add <node_value> to <node_list>,3
letter <value> of <node_value>,4
<node_value>=<node_value>,2
node_variables,24
delete all of <nodes_value>,2
not <node_value>,33
<node_value>=<value>,10
<node_value> of <node_value>,15
<node_value> and <node_value>,9
add <value> to <node_list>,18
delete all of <node_list>,15
<node_value> > <node_value>,2
wait until <node_variable>,2
set volume to <value> %,7
set <node_value> effect to <node_value>,2
play sound <node_value> until done,66
node_varible,2
<node_variable> = <value>,53
<node_variable>=<node_variable>,4
